
65  65  65  65  65  65  65  65  65  65  
983 983 983 983 983 983 983 983 983 983 
65  65  65  65  65  65  65  65  65  65  
53  53  53  53  53  53  53  53  53  53  
673 673 673 673 673 673 673 673 673 673 
59  59  59  59  59  59  59  59  59  59  
123 123 123 123 123 123 123 123 123 123 
45  45  45  45  45  45  45  45  45  45  
11  11  11  11  11  11  11  11  11  11  
27  27  27  27  27  27  27  27  27  27  
Max: 983
Min: 11
Avg: 210.4
*--<Values greater than 100>--*
983
673
123

11  65  65  65  65  65  65  65  65  65  
27  983 983 983 983 983 983 983 983 983 
45  65  65  65  65  65  65  65  65  65  
53  53  53  53  53  53  53  53  53  53  
59  673 673 673 673 673 673 673 673 673 
65  59  59  59  59  59  59  59  59  59  
65  123 123 123 123 123 123 123 123 123 
123 45  45  45  45  45  45  45  45  45  
673 11  11  11  11  11  11  11  11  11  
983 27  27  27  27  27  27  27  27  27  
